# name = name of planet
# star_teff = effective temperature of star [K]
# star_radius = radius of star [solar radii]
# planet_a = semimajor axis of planet's orbit [AU]
# planet_radius = radius of planet [Earth radii]

           name | star_teff | star_radius |         planet_a | planet_radius
      HAT-P-54b |    4390.0 |        0.62 |  0.0413349635089 |        10.581
      HAT-P-55b |    5808.0 |        1.01 |  0.0459706646961 |        13.249
      HAT-P-56b |    6566.0 |        1.43 |  0.0423498803369 |        16.432
      HAT-P-57b |    7500.0 |         1.5 |  0.0406222436293 |        15.838
       HAT-P-5b |    5960.0 |        1.17 |  0.0407965880226 |         14.12
      HAT-P-65b |    5835.0 |        1.86 |  0.0395189923088 |        21.185
      HAT-P-66b |    6002.0 |        1.88 |   0.043789732566 |        17.822
      HAT-P-67b |    6406.0 |        2.55 |  0.0674691880584 |        23.371
       HAT-P-6b |    6570.0 |        1.46 |  0.0521982464233 |        14.908
       HAT-P-7b |    6441.0 |        1.84 |  0.0344746278638 |        16.713
       HAT-P-8b |    6200.0 |        1.58 |  0.0466452612684 |         16.81
       HAT-P-9b |    6350.0 |        1.32 |  0.0527775347273 |         15.69
       HATS-10b |    5880.0 |         1.1 |  0.0446461122257 |        10.862
       HATS-11b |    6060.0 |        1.44 |  0.0460603939438 |        16.926
       HATS-12b |    6408.0 |        2.21 |  0.0479828314535 |        15.132
       HATS-13b |    5523.0 |        0.89 |  0.0406329367521 |        13.585
       HATS-14b |    5346.0 |        0.93 |  0.0380489203848 |        11.646
       HATS-15b |    5311.0 |        0.92 |  0.0270749868955 |        12.386
       HATS-16b |    5738.0 |        1.24 |  0.0374724215911 |        14.572
       HATS-17b |    5846.0 |        1.09 |   0.130744347393 |         8.709
       HATS-18b |    5600.0 |        1.02 |  0.0175934414125 |        14.986
        HATS-1b |    5870.0 |        1.04 |   0.044483390792 |        14.594
       HATS-22b |    4803.0 |        0.69 |  0.0503646083246 |        10.682
       HATS-23b |    5780.0 |         1.2 |  0.0339204451524 |        20.849
       HATS-24b |    6346.0 |        1.17 |  0.0254026754754 |        16.668
       HATS-25b |    5715.0 |        1.11 |  0.0517607582258 |        14.123
       HATS-26b |    6071.0 |        2.04 |  0.0475165183163 |        19.616
       HATS-27b |    6438.0 |        1.74 |  0.0610763278464 |        16.814
       HATS-28b |    5498.0 |        0.92 |  0.0411899089738 |        13.384
       HATS-29b |    5670.0 |        1.07 |  0.0545219084967 |        14.022
        HATS-2b |    5227.0 |         0.9 |  0.0230134599102 |        13.092
       HATS-30b |    5943.0 |        1.06 |  0.0434661493721 |        13.171
       HATS-31b |    6050.0 |        1.87 |  0.0477299158537 |        18.383
       HATS-32b |    5700.0 |         1.1 |  0.0402991253538 |          14.0
       HATS-33b |    5659.0 |        1.02 |  0.0371311714987 |        13.787
       HATS-34b |    5380.0 |        0.98 |  0.0317111530011 |        16.029
       HATS-35b |    6300.0 |        1.43 |  0.0318455144135 |         16.41
        HATS-3b |    6351.0 |         1.4 |  0.0482957215246 |         15.48
        HATS-4b |    5403.0 |        0.93 |  0.0364491362323 |        11.433
        HATS-5b |    5304.0 |        0.87 |  0.0541192891778 |        10.223
        HATS-6b |    3724.0 |        0.57 |  0.0361729747133 |        11.187
        HATS-8b |    5679.0 |        1.09 |   0.046672691453 |         9.785
        HATS-9b |    5366.0 |         1.5 |  0.0304056621843 |        11.938
     HD 106315b |    6290.0 |        1.18 |  0.0916168163615 |          2.23
     HD 106315c |    6290.0 |        1.18 |   0.183233632723 |          3.95
     HD 149026b |    6160.0 |        1.54 |  0.0430300559298 |         9.113
      HD 17156b |    6100.0 |        1.44 |   0.155319933066 |         11.43
     HD 189733b |    4875.0 |        0.81 |  0.0335159661601 |         13.63
     HD 209458b |    6065.0 |        1.12 |  0.0463430643201 |        14.796
     HD 219134b |    4699.0 |        0.78 |   0.050043814641 |         1.602
     HD 219134c |    4699.0 |        0.78 |   0.084131630411 |         1.511
       HD 3167b |    5370.0 |        0.83 |  0.0175962309228 |         1.557
       HD 3167c |    5370.0 |        0.83 |   0.162842312488 |          2.85
      HD 80606b |    5645.0 |        0.98 |    0.42828281352 |         10.98
      HD 97658b |    5119.0 |         0.7 |  0.0853962084101 |         2.341
    HIP 116454b |    5089.0 |        0.72 |  0.0911165641825 |          2.53
     HIP 41378b |    6199.0 |         1.4 |   0.126922718292 |           2.9
     HIP 41378c |    6199.0 |         1.4 |   0.475146586428 |          2.56
     HIP 41378d |    6199.0 |         1.4 |   0.594046816249 |          3.96
     HIP 41378e |    6199.0 |         1.4 |   0.528751733473 |          5.51
     HIP 41378f |    6199.0 |         1.4 |   0.967017382047 |          10.2
        K2-100b |    6120.0 |        1.19 |  0.0343016782257 |           3.5
        K2-101b |    4819.0 |        0.73 |   0.110301886135 |           2.0
        K2-102b |    4695.0 |        0.71 |  0.0835132889629 |           1.3
        K2-104b |    3660.0 |        0.48 |  0.0245476905708 |           1.9
        K2-105b |    5434.0 |        0.95 |  0.0793243743408 |          3.59
        K2-107b |    6030.0 |        1.78 |  0.0475843964001 |        16.141
        K2-108b |    5474.0 |        1.75 |  0.0572880159782 |          5.28
         K2-10b |    5620.0 |        0.98 |   0.130762944128 |          3.84
        K2-110b |    5010.0 |        0.71 |   0.101668351781 |         2.592
        K2-111b |    5730.0 |        1.23 |  0.0548403775883 |           1.9
         K2-11b |    5433.0 |        5.15 |    1.07936381407 |          7.55
         K2-12b |    5800.0 |        1.01 |  0.0820334537529 |          2.33
         K2-13b |    5698.0 |        0.78 |   0.288984897735 |          1.89
         K2-14b |    3789.0 |        0.45 |  0.0630987228082 |          4.81
         K2-15b |    5131.0 |        0.68 |  0.0911760737354 |          2.48
         K2-16b |    4742.0 |        0.66 |  0.0583007651057 |          2.02
         K2-16c |    4742.0 |        0.66 |  0.0699609181269 |          2.54
         K2-17b |    4320.0 |        0.66 |   0.120836006835 |          2.23
         K2-18b |    3503.0 |        0.39 |   0.151999021064 |          2.24
         K2-19b |    5430.0 |        0.86 |  0.0739685145799 |          7.74
         K2-19c |    5430.0 |        0.86 |  0.0723691953458 |          4.86
         K2-19d |    5430.0 |        0.86 |  0.0313106723068 |          1.14
         K2-21b |    4043.0 |         0.6 |  0.0641587367192 |          1.59
         K2-21c |    4043.0 |         0.6 |   0.114369921978 |          1.92
         K2-22b |    3830.0 |        0.57 | 0.00874511476586 |           2.5
         K2-24b |    5743.0 |        1.21 |     0.1451382205 |          5.83
         K2-24c |    5743.0 |        1.21 |   0.250897854043 |           8.1
         K2-25b |    3180.0 |        0.29 |  0.0297670382958 |          3.43
         K2-26b |    3785.0 |        0.52 |   0.050043814641 |          2.67
         K2-27b |    5248.0 |        0.89 |  0.0668539013533 |          4.48
         K2-28b |    3214.0 |        0.29 |  0.0241339132108 |          2.32
         K2-29b |    5358.0 |        0.86 |  0.0420221128776 |        13.339
         K2-30b |    5425.0 |        0.84 |   0.048191579807 |        11.646
         K2-31b |    5280.0 |        0.78 |  0.0219394984477 |        11.882
         K2-32b |    5275.0 |        0.84 |  0.0804599074437 |          5.13
         K2-32c |    5275.0 |        0.84 |   0.140096566481 |          3.01
         K2-32d |    5275.0 |        0.84 |   0.186430918606 |          3.43
         K2-33b |    3540.0 |        1.05 |   0.050769087317 |          5.04
         K2-34b |    6132.0 |        1.53 |  0.0441021577187 |        15.132
         K2-35b |    4680.0 |        0.72 |   0.027060481442 |           1.4
         K2-35c |    4680.0 |        0.72 |  0.0582449748999 |          2.09
         K2-36b |    4924.0 |        0.74 |   0.030609203452 |          1.32
         K2-36c |    4924.0 |        0.74 |  0.0849777818662 |           2.8
