# These data come from 
# wavelength = in micron
# albedo = reflectivity at this wavelength
#
wavelength |       albedo
     0.579 |   0.83275539
0.57999998 |    0.8325398
0.58099997 |   0.83220047
0.58200002 |   0.83186632
     0.583 |   0.83164006
0.58399999 |   0.83152145
0.58499998 |    0.8314845
0.58600003 |   0.83149958
0.58700001 |   0.83152175
     0.588 |   0.83150202
0.58899999 |   0.83140743
0.58999997 |   0.83126873
0.59100002 |   0.83113295
0.59200001 |   0.83103424
0.59299999 |   0.83095759
0.59399998 |   0.83087552
0.59500003 |   0.83076483
0.59600002 |   0.83061779
     0.597 |   0.83043122
0.59799999 |   0.83020961
0.59899998 |   0.82998884
0.60000002 |   0.82981277
0.60100001 |   0.82970935
     0.602 |   0.82964462
0.60299999 |   0.82956874
0.60399997 |   0.82944578
0.60500002 |   0.82929426
0.60600001 |   0.82914633
0.60699999 |   0.82902753
0.60799998 |   0.82893842
0.60900003 |   0.82887208
0.61000001 |   0.82882005
     0.611 |   0.82876331
0.61199999 |   0.82868004
0.61299998 |   0.82855523
0.61400002 |   0.82839912
0.61500001 |   0.82822829
     0.616 |   0.82805693
0.61699998 |    0.8278895
0.61799997 |   0.82772815
0.61900002 |    0.8275727
      0.62 |   0.82741493
0.62099999 |   0.82724446
0.62199998 |   0.82705402
0.62300003 |    0.8268494
0.62400001 |   0.82663953
     0.625 |   0.82643026
0.62599999 |   0.82621562
0.62699997 |   0.82598549
0.62800002 |   0.82573861
0.62900001 |   0.82549483
      0.63 |   0.82528001
0.63099998 |   0.82511264
0.63200003 |   0.82496709
0.63300002 |   0.82480758
     0.634 |   0.82461083
0.63499999 |   0.82438833
0.63599998 |   0.82416469
0.63700002 |    0.8239572
0.63800001 |   0.82377261
     0.639 |   0.82361013
0.63999999 |   0.82346958
0.64099997 |   0.82333428
0.64200002 |   0.82318819
0.64300001 |   0.82301652
0.64399999 |    0.8228212
0.64499998 |   0.82261068
0.64600003 |   0.82239151
0.64700001 |    0.8221792
     0.648 |   0.82198709
0.64899999 |   0.82182539
0.64999998 |    0.8216728
0.65100002 |    0.8215012
0.65200001 |   0.82129407
     0.653 |    0.8210665
0.65399998 |   0.82084322
0.65499997 |    0.8206448
0.65600002 |   0.82046509
0.65700001 |   0.82029361
0.65799999 |   0.82012033
0.65899998 |   0.81994724
0.66000003 |    0.8197757
0.66100001 |   0.81960797
     0.662 |   0.81944549
0.66299999 |   0.81928933
0.66399997 |   0.81914127
0.66500002 |   0.81900436
0.66600001 |   0.81888252
     0.667 |   0.81877601
0.66799998 |   0.81867242
0.66900003 |   0.81855583
0.67000002 |   0.81841737
     0.671 |    0.8182773
0.67199999 |   0.81816256
0.67299998 |   0.81808978
0.67400002 |   0.81803262
0.67500001 |   0.81795418
     0.676 |   0.81783074
0.67699999 |   0.81769061
0.67799997 |   0.81757611
0.67900002 |   0.81751651
0.68000001 |   0.81749189
0.68099999 |    0.8174696
0.68199998 |    0.8174243
0.68300003 |   0.81735754
0.68400002 |   0.81727529
     0.685 |   0.81718683
0.68599999 |   0.81710476
0.68699998 |   0.81704241
0.68800002 |    0.8170076
0.68900001 |   0.81698608
      0.69 |   0.81695795
0.69099998 |   0.81690747
0.69199997 |    0.8168298
0.69300002 |   0.81672597
0.69400001 |   0.81659901
0.69499999 |    0.8164646
0.69599998 |   0.81634068
0.69700003 |   0.81623864
0.69800001 |   0.81614143
     0.699 |   0.81602603
0.69999999 |   0.81587332
0.70099998 |    0.8156938
0.70200002 |   0.81550378
0.70300001 |   0.81531686
     0.704 |   0.81513578
0.70499998 |   0.81496119
0.70599997 |   0.81479299
0.70700002 |   0.81463003
     0.708 |   0.81447124
0.70899999 |    0.8143152
0.70999998 |    0.8141607
0.71100003 |   0.81400633
0.71200001 |   0.81385165
     0.713 |    0.8137005
0.71399999 |   0.81355768
0.71499997 |   0.81342661
0.71600002 |    0.8133049
0.71700001 |   0.81318855
0.71799999 |   0.81307459
0.71899998 |   0.81296521
0.72000003 |   0.81286317
0.72100002 |   0.81276864
     0.722 |   0.81266791
0.72299999 |   0.81254399
0.72399998 |   0.81238753
0.72500002 |   0.81221819
0.72600001 |   0.81206322
     0.727 |     0.811939
0.72799999 |   0.81181902
0.72899997 |   0.81166583
0.73000002 |   0.81145388
0.73100001 |   0.81120604
0.73199999 |   0.81095654
0.73299998 |   0.81073296
0.73400003 |   0.81053364
0.73500001 |   0.81034976
     0.736 |    0.8101697
0.73699999 |   0.80996919
0.73799998 |   0.80972123
0.73900002 |   0.80941015
0.74000001 |   0.80906534
     0.741 |   0.80872828
0.74199998 |   0.80842578
0.74299997 |   0.80812979
0.74400002 |   0.80779821
     0.745 |    0.8074007
0.74599999 |   0.80695432
0.74699998 |   0.80648756
0.74800003 |   0.80602378
0.74900001 |   0.80556297
      0.75 |   0.80509961
0.75099999 |   0.80462623
0.75199997 |   0.80412775
0.75300002 |   0.80358726
0.75400001 |   0.80299151
     0.755 |   0.80235016
0.75599998 |    0.8016746
0.75700003 |    0.8009764
0.75800002 |   0.80026406
     0.759 |   0.79954463
0.75999999 |    0.7988221
0.76099998 |   0.79808491
0.76200002 |   0.79731822
0.76300001 |    0.7965135
     0.764 |   0.79568905
0.76499999 |   0.79486948
0.76599997 |   0.79407167
0.76700002 |   0.79327953
0.76800001 |   0.79246926
0.76899999 |   0.79162288
0.76999998 |   0.79074693
0.77100003 |   0.78985417
0.77200001 |   0.78895676
     0.773 |   0.78806424
0.77399999 |   0.78718585
0.77499998 |   0.78632849
0.77600002 |   0.78549093
0.77700001 |   0.78466988
     0.778 |   0.78386229
0.77899998 |    0.7830655
0.77999997 |   0.78227681
0.78100002 |   0.78149408
0.78200001 |   0.78071558
0.78299999 |   0.77993959
0.78399998 |   0.77917033
0.78500003 |   0.77843434
0.78600001 |   0.77776402
     0.787 |   0.77717775
0.78799999 |   0.77664053
0.78899997 |   0.77610326
0.79000002 |   0.77553397
0.79100001 |   0.77496886
     0.792 |   0.77446115
0.79299998 |   0.77404827
0.79400003 |   0.77370536
0.79500002 |    0.7733894
     0.796 |   0.77306926
0.79699999 |   0.77275068
0.79799998 |   0.77244896
0.79900002 |   0.77217799
0.80000001 |   0.77194721
     0.801 |   0.77176422
0.80199999 |   0.77163494
0.80299997 |   0.77155584
0.80400002 |   0.77152097
0.80500001 |   0.77152371
0.80599999 |   0.77155137
0.80699998 |   0.77159071
0.80800003 |   0.77163529
0.80900002 |   0.77170616
      0.81 |   0.77183127
0.81099999 |   0.77202564
0.81199998 |   0.77225083
0.81300002 |   0.77245563
0.81400001 |   0.77260494
     0.815 |   0.77272809
0.81599998 |   0.77287096
0.81699997 |   0.77306443
0.81800002 |   0.77327865
0.81900001 |   0.77346885
0.81999999 |   0.77360237
0.82099998 |    0.7736944
0.82200003 |   0.77377182
0.82300001 |   0.77385569
     0.824 |   0.77394009
0.82499999 |   0.77401316
0.82599998 |   0.77406335
0.82700002 |   0.77407992
0.82800001 |    0.7740528
     0.829 |   0.77397817
0.82999998 |   0.77387738
0.83099997 |   0.77377832
0.83200002 |   0.77369624
     0.833 |   0.77359647
0.83399999 |   0.77343124
0.83499998 |   0.77317035
0.83600003 |   0.77285212
0.83700001 |   0.77253163
     0.838 |   0.77224773
0.83899999 |   0.77197236
0.83999997 |   0.77166098
0.84100002 |   0.77127564
0.84200001 |   0.77080518
0.84299999 |   0.77024466
0.84399998 |   0.76959801
0.84500003 |   0.76890254
0.84600002 |   0.76820409
     0.847 |   0.76753002
0.84799999 |   0.76683474
0.84899998 |   0.76605392
0.85000002 |    0.7651425
0.85100001 |   0.76413113
     0.852 |   0.76306891
0.85299999 |   0.76199549
0.85399997 |    0.7609098
0.85500002 |   0.75980085
0.85600001 |   0.75865793
0.85699999 |   0.75747097
0.85799998 |   0.75622934
0.85900003 |   0.75493085
0.86000001 |   0.75359547
     0.861 |   0.75225019
0.86199999 |   0.75091493
0.86299998 |   0.74958044
0.86400002 |   0.74823052
0.86500001 |   0.74685329
     0.866 |   0.74545312
0.86699998 |   0.74403888
0.86799997 |   0.74261558
0.86900002 |   0.74117351
      0.87 |   0.73969871
0.87099999 |   0.73818386
0.87199998 |    0.7366454
0.87300003 |   0.73510605
0.87400001 |   0.73357952
     0.875 |   0.73204106
0.87599999 |   0.73045725
0.87699997 |    0.7288081
0.87800002 |   0.72713029
0.87900001 |   0.72547448
      0.88 |   0.72388011
0.88099998 |   0.72234374
0.88200003 |   0.72085083
0.88300002 |   0.71938801
     0.884 |   0.71794826
0.88499999 |   0.71652532
0.88599998 |   0.71511954
0.88700002 |    0.7137568
0.88800001 |   0.71246976
     0.889 |   0.71128041
0.88999999 |   0.71017039
0.89099997 |   0.70911109
0.89200002 |   0.70807856
0.89300001 |   0.70706713
0.89399999 |   0.70607597
0.89499998 |   0.70510769
0.89600003 |   0.70417929
0.89700001 |   0.70331156
     0.898 |   0.70252186
0.89899999 |   0.70181483
0.89999998 |   0.70119244
