pressure | temperature |   density | altitude
 0.00552 |      155.15 |  0.012198 |   119.18
 0.00556 |      155.15 |  0.012359 |   119.01
 0.00561 |      154.73 |   0.01248 |   118.64
 0.00564 |      154.23 |  0.012544 |   118.46
 0.00566 |      154.07 |  0.012559 |   118.29
 0.00569 |      153.75 |  0.012669 |   118.11
 0.00571 |      153.64 |  0.012738 |   117.94
 0.00574 |      153.65 |  0.012769 |   117.77
 0.00576 |      153.67 |  0.012883 |    117.6
 0.00579 |      153.55 |  0.012921 |   117.43
 0.00582 |      153.42 |   0.01294 |   117.25
 0.00584 |      153.36 |     0.013 |   117.08
 0.00587 |      153.29 |  0.013098 |   116.91
  0.0059 |      153.21 |  0.013139 |   116.74
 0.00593 |      153.29 |   0.01316 |   116.57
 0.00595 |      153.53 |  0.013215 |    116.4
 0.00598 |      153.63 |  0.013277 |   116.23
 0.00601 |      153.74 |  0.013386 |   116.07
 0.00603 |      153.66 |  0.013469 |    115.9
 0.00606 |      153.75 |  0.013503 |   115.73
 0.00609 |      153.64 |  0.013562 |   115.56
 0.00612 |      153.45 |  0.013627 |   115.39
 0.00615 |       153.4 |   0.01373 |   115.23
 0.00618 |      153.35 |  0.013805 |   115.06
  0.0062 |      153.24 |  0.013844 |   114.89
 0.00623 |      153.23 |  0.013935 |   114.73
 0.00626 |      153.29 |  0.014032 |   114.56
 0.00629 |      153.09 |  0.014124 |    114.4
 0.00632 |       153.0 |  0.014205 |   114.23
 0.00638 |      151.98 |  0.014375 |   113.88
  0.0064 |      151.74 |  0.014455 |   113.72
 0.00643 |      151.59 |  0.014548 |   113.55
 0.00646 |      151.43 |  0.014629 |   113.39
 0.00649 |      151.34 |  0.014668 |   113.23
 0.00652 |      151.29 |  0.014799 |   113.07
 0.00655 |       151.2 |  0.014963 |   112.91
 0.00658 |      151.03 |  0.015022 |   112.75
 0.00661 |      150.58 |   0.01512 |   112.59
 0.00664 |      150.06 |    0.0152 |   112.43
 0.00667 |      149.68 |  0.015271 |   112.27
