pressure | temperature | density | altitude
   6.178 |       460.0 |   7.065 |   34.556
   6.068 |       458.6 |    6.96 |   34.734
   5.938 |       456.9 |   6.837 |   34.949
   5.818 |       455.3 |   6.722 |   35.151
   5.698 |       453.6 |   6.606 |   35.357
   5.578 |       452.0 |    6.49 |   35.566
   5.458 |       450.4 |   6.373 |   35.779
   5.328 |       448.7 |   6.244 |   36.014
   5.218 |       447.2 |   6.136 |   36.216
   5.108 |       445.2 |   6.033 |   36.423
   4.988 |       443.3 |   5.917 |   36.652
   4.878 |       441.8 |   5.806 |   36.866
   4.758 |       439.9 |   5.687 |   37.104
   4.648 |       438.4 |   5.574 |   37.327
   4.548 |       436.6 |   5.477 |   37.534
   4.438 |       435.0 |   5.363 |   37.766
   4.328 |       432.9 |   5.255 |   38.002
   4.228 |       431.6 |   5.149 |   38.222
   4.128 |       429.7 |   5.049 |   38.446
   4.018 |       427.8 |   4.936 |   38.697
   3.908 |       425.9 |   4.823 |   38.955
   3.828 |       424.3 |   4.742 |   39.146
   3.728 |       422.4 |   4.638 |   39.389
   3.628 |       421.1 |   4.527 |   39.638
   3.538 |       419.1 |   4.435 |   39.868
   3.438 |       417.0 |   4.332 |   40.128
   3.348 |       415.4 |   4.234 |   40.369
   3.248 |       413.4 |   4.128 |   40.642
   3.158 |       411.6 |   4.031 |   40.894
   3.068 |       409.7 |   3.934 |   41.152
   2.968 |       407.9 |   3.822 |   41.447
   2.888 |       405.7 |   3.738 |   41.689
   2.798 |       403.8 |   3.639 |   41.968
   2.705 |       401.7 |   3.536 |   42.264
   2.621 |       400.0 |   3.441 |    42.54
   2.537 |       398.3 |   3.345 |   42.823
   2.449 |       396.4 |   3.243 |   43.128
   2.367 |       394.7 |   3.148 |   43.422
   2.291 |       393.2 |   3.059 |   43.702
   2.206 |       391.2 |    2.96 |   44.025
   2.124 |       389.5 |   2.862 |   44.347
   2.048 |       387.7 |   2.773 |   44.656
   1.977 |       385.6 |   2.691 |   44.953
   1.897 |       383.8 |   2.594 |     45.3
   1.821 |       381.0 |   2.508 |   45.641
   1.749 |       378.6 |   2.424 |   45.975
   1.664 |       376.7 |   2.318 |   46.385
   1.594 |       374.0 |   2.236 |   46.737
   1.523 |       372.3 |   2.146 |   47.108
   1.463 |       370.5 |   2.071 |   47.434
   1.397 |       368.4 |   1.989 |   47.807
   1.332 |       366.3 |   1.907 |   48.189
   1.271 |       363.9 |   1.831 |   48.563
   1.204 |       361.3 |   1.747 |   48.992
   1.142 |       357.7 |   1.674 |   49.408
   1.086 |       353.9 |   1.609 |   49.799
   1.026 |       350.9 |   1.532 |   50.237
  0.9628 |       346.7 |   1.455 |   50.721
  0.9057 |       342.4 |   1.386 |   51.181
  0.8547 |       338.2 |   1.324 |   51.613
  0.8016 |       334.5 |   1.256 |   52.085
  0.7516 |       329.3 |   1.196 |   52.554
  0.7025 |       324.5 |   1.134 |   53.037
  0.6534 |       319.1 |   1.073 |   53.547
  0.6073 |       314.3 |   1.012 |   54.055
  0.5613 |       308.3 |  0.9532 |   54.593
  0.5392 |       305.1 |  0.9253 |   54.863
  0.4931 |       299.4 |  0.8623 |   55.455
  0.4521 |       292.2 |  0.8098 |   56.019
  0.4075 |       285.3 |  0.7476 |   56.676
  0.3689 |       278.9 |  0.6921 |   57.292
  0.3356 |       273.1 |   0.643 |   57.866
  0.2957 |       267.5 |  0.5782 |   58.617
  0.2635 |       262.5 |  0.5251 |   59.288
  0.2302 |       257.8 |  0.4671 |   60.058
  0.2005 |       253.9 |   0.413 |   60.836
  0.1709 |       250.6 |  0.3567 |    61.72
   0.143 |       247.6 |  0.3021 |   62.697
  0.1188 |       244.1 |  0.2544 |   63.703
  0.0958 |       240.2 |  0.2085 |   64.848
  0.0755 |       236.0 |  0.1672 |   66.103
  0.0641 |       233.2 |  0.1436 |   66.952
