  pressure | temperature |    density | altitude
2.7188e-08 |     127.285 | 1.1172e-07 |    96.71
2.8727e-08 |      126.76 | 1.1854e-07 |   96.329
3.0358e-08 |     126.226 | 1.2579e-07 |    95.95
3.2087e-08 |      125.53 | 1.3369e-07 |   95.571
3.3918e-08 |     125.223 | 1.4167e-07 |   95.193
3.5851e-08 |     125.568 | 1.4933e-07 |   94.816
3.7882e-08 |     126.145 | 1.5707e-07 |   94.439
4.0012e-08 |     127.068 |  1.647e-07 |   94.063
4.2244e-08 |     127.762 | 1.7294e-07 |   93.688
4.4595e-08 |     127.187 | 1.8339e-07 |   93.314
4.7076e-08 |     127.415 | 1.9325e-07 |    92.94
4.9657e-08 |     130.369 | 1.9922e-07 |   92.567
5.2318e-08 |     132.735 | 2.0616e-07 |   92.194
5.5088e-08 |     133.196 | 2.1632e-07 |   91.822
5.7999e-08 |     132.742 | 2.2853e-07 |   91.451
6.1074e-08 |     131.906 | 2.4218e-07 |   91.081
 6.433e-08 |     130.919 | 2.5701e-07 |   90.711
6.7774e-08 |     130.381 | 2.7188e-07 |   90.342
7.1402e-08 |     130.505 | 2.8617e-07 |   89.974
7.5207e-08 |     131.077 |  3.001e-07 |   89.606
7.9186e-08 |     131.843 | 3.1414e-07 |   89.239
8.3344e-08 |     132.635 | 3.2866e-07 |   88.873
8.7689e-08 |     133.257 | 3.4418e-07 |   88.507
9.2237e-08 |     133.518 | 3.6132e-07 |   88.142
9.7011e-08 |     133.326 | 3.8058e-07 |   87.778
1.0207e-07 |     131.011 | 4.0751e-07 |   87.415
 1.075e-07 |      128.12 | 4.3887e-07 |   87.052
1.1336e-07 |     124.376 | 4.7673e-07 |    86.69
1.1985e-07 |     116.475 |  5.382e-07 |   86.329
1.2725e-07 |     107.216 | 6.2076e-07 |   85.968
1.3537e-07 |     108.043 | 6.5535e-07 |   85.608
1.4455e-07 |      95.981 | 7.8771e-07 |   85.249
 1.551e-07 |      92.736 | 8.7479e-07 |    84.89
1.6659e-07 |       92.79 | 9.3907e-07 |   84.532
 1.789e-07 |      92.981 | 1.0064e-06 |   84.175
1.9192e-07 |      95.093 | 1.0556e-06 |   83.819
2.0585e-07 |      93.201 | 1.1552e-06 |   83.463
2.2077e-07 |      94.943 | 1.2162e-06 |   83.108
 2.365e-07 |      96.121 | 1.2869e-06 |   82.753
2.5311e-07 |      97.101 | 1.3634e-06 |     82.4
2.7076e-07 |        97.2 |  1.457e-06 |   82.047
2.8959e-07 |      97.313 | 1.5565e-06 |   81.695
3.0971e-07 |      96.982 | 1.6703e-06 |   81.343
3.3143e-07 |        95.3 |  1.819e-06 |   80.992
3.5489e-07 |      94.818 | 1.9577e-06 |   80.642
3.7993e-07 |      95.512 | 2.0806e-06 |   80.293
4.0639e-07 |      96.936 | 2.1928e-06 |   79.944
4.3448e-07 |      96.586 | 2.3528e-06 |   79.596
4.6439e-07 |      97.278 | 2.4969e-06 |   79.249
4.9589e-07 |      98.982 | 2.6204e-06 |   78.902
5.2903e-07 |      99.816 | 2.7721e-06 |   78.556
5.6394e-07 |     101.013 | 2.9201e-06 |   78.211
 6.008e-07 |     101.315 | 3.1017e-06 |   77.867
6.3966e-07 |     102.694 | 3.2579e-06 |   77.523
6.8042e-07 |     103.927 | 3.4244e-06 |    77.18
7.2318e-07 |     105.069 |    3.6e-06 |   76.838
7.6799e-07 |     106.384 | 3.7759e-06 |   76.496
 8.149e-07 |      107.65 | 3.9594e-06 |   76.155
8.6399e-07 |     108.872 | 4.1508e-06 |   75.815
9.1541e-07 |     109.775 | 4.3616e-06 |   75.476
9.6943e-07 |     110.275 | 4.5981e-06 |   75.137
1.0262e-06 |     110.959 | 4.8374e-06 |   74.799
1.0857e-06 |     112.176 | 5.0621e-06 |   74.462
1.1477e-06 |     113.572 | 5.2855e-06 |   74.125
1.2123e-06 |     115.002 | 5.5137e-06 |    73.79
1.2796e-06 |     116.182 | 5.7607e-06 |   73.455
1.3498e-06 |     117.278 | 6.0199e-06 |    73.12
